Date,Price,Open,High,Low,Vol.,Change %
02/24/2025,141.848,168.179,169.592,140.131,12220000,-15.53%
02/23/2025,167.920,172.108,173.039,166.471,2180000,-2.42%
02/22/2025,172.087,168.311,174.513,168.158,2870000,1.90%
02/21/2025,168.882,176.155,180.438,167.191,6460000,-4.06%
02/20/2025,176.037,168.948,176.431,167.746,4420000,4.24%
02/19/2025,168.877,169.708,174.196,164.031,5340000,-0.21%
02/18/2025,169.234,177.508,179.014,161.270,9700000,-4.65%
02/17/2025,177.488,188.363,189.535,175.074,6130000,-5.77%
02/16/2025,188.363,194.486,196.023,186.617,2830000,-3.15%
02/15/2025,194.491,199.528,200.216,192.680,2290000,-2.52%
02/14/2025,199.528,194.269,205.162,194.177,5090000,2.69%
02/13/2025,194.306,196.745,198.282,189.112,3490000,-1.24%
02/12/2025,196.745,198.055,198.495,188.923,5390000,-0.66%
02/11/2025,198.045,200.521,206.162,195.250,4920000,-1.23%
02/10/2025,200.521,200.459,208.969,196.066,5110000,0.03%
02/09/2025,200.459,199.485,207.297,193.938,4390000,0.49%
02/08/2025,199.485,192.118,200.767,189.949,2840000,3.84%
02/07/2025,192.111,189.622,203.309,188.223,5470000,1.31%
02/06/2025,189.625,195.777,203.921,187.913,4980000,-3.14%
02/05/2025,195.777,206.717,209.145,195.252,4460000,-5.28%
02/04/2025,206.687,216.249,219.918,202.513,8560000,-4.42%
02/03/2025,216.249,203.350,218.456,177.534,18180000,6.35%
02/02/2025,203.345,213.233,218.545,194.363,10450000,-4.63%
02/01/2025,213.220,231.748,234.139,213.047,3890000,-8.00%
01/31/2025,231.749,238.667,241.698,228.244,4150000,-2.90%
01/30/2025,238.667,227.925,244.537,227.001,4840000,4.70%
01/29/2025,227.948,227.041,237.913,222.721,5670000,0.33%
01/28/2025,227.191,235.068,243.787,225.152,5270000,-3.35%
01/27/2025,235.068,240.654,242.442,221.315,12210000,-2.32%
01/26/2025,240.654,256.091,259.917,240.561,4190000,-6.03%
01/25/2025,256.091,253.339,260.735,246.366,4990000,1.09%
01/24/2025,253.339,253.154,269.905,247.297,7190000,0.07%
01/23/2025,253.154,257.477,258.250,242.274,9270000,-1.69%
01/22/2025,257.517,250.560,271.612,248.616,8840000,2.78%
01/21/2025,250.560,242.098,259.899,230.959,10420000,3.49%
01/20/2025,242.098,252.031,273.042,230.388,22220000,-3.90%
01/19/2025,251.920,261.832,294.816,239.135,32600000,-3.78%
01/18/2025,261.820,219.472,268.479,217.388,26400000,19.30%
01/17/2025,219.472,211.010,221.931,209.939,5970000,4.01%
01/16/2025,211.011,205.841,217.082,198.537,7300000,2.51%
01/15/2025,205.841,187.419,206.014,185.858,5310000,9.83%
01/14/2025,187.419,182.677,190.025,181.885,3580000,2.60%
01/13/2025,182.671,188.474,191.803,171.769,7120000,-3.08%
01/12/2025,188.474,188.048,190.941,185.200,1770000,0.22%
01/11/2025,188.053,187.645,191.712,184.074,2990000,0.22%
01/10/2025,187.645,185.022,192.840,183.700,4690000,1.42%
01/09/2025,185.022,197.620,198.977,182.096,4690000,-6.37%
01/08/2025,197.606,202.229,203.149,188.551,5880000,-2.29%
01/07/2025,202.235,218.236,219.066,202.057,5070000,-7.33%
01/06/2025,218.234,213.281,223.097,211.572,3920000,2.32%
01/05/2025,213.282,216.651,218.987,211.665,2890000,-1.55%
01/04/2025,216.644,217.967,218.060,213.604,2680000,-0.61%
01/03/2025,217.967,208.178,219.727,205.633,4440000,4.70%
01/02/2025,208.186,194.157,210.081,193.467,4690000,7.23%
01/01/2025,194.157,189.501,195.150,187.918,2800000,2.47%
12/31/2024,189.485,191.295,199.111,188.028,3850000,-0.96%
12/30/2024,191.330,189.892,196.349,185.982,3680000,0.76%
12/29/2024,189.892,195.393,197.501,188.557,2470000,-2.79%
12/28/2024,195.350,184.121,195.822,183.906,2430000,6.10%
12/27/2024,184.121,188.442,194.174,182.886,2980000,-2.30%
